predictor,trace,instructions,branches,conditional_branches,predictions,extra_cycles,p1_p2_disagreements,p1_p2_disagreements_at_end,mispredictions,p1_latency,p2_latency,energy_per_instruction
bimodal,infra_22,39000015,8603674,5341815,7395571,206391,27856,19517,179237,0.54,0.956667,707
bimodal,web_74,38999880,7592759,5498498,6187998,550639,95131,53035,462811,0.54,0.956667,607
bimodal,xz-3.9139_0,12020330,2017963,1636913,1837323,277309,48491,29189,232668,0.54,0.956667,588
bimodal,minizinc-3.2615_0,12020330,2392038,1901193,2147807,405962,59285,34075,350892,0.54,0.956667,692
bimodal,int_145,38999986,7950777,6000454,6844986,922067,112004,64610,815890,0.54,0.956667,673
bimodal,ntest-1.168389_0,12021689,1125566,696507,1511570,188602,26697,12939,162462,0.54,0.956667,461
bimodal,nodejs-zlib_3279,24372402,4913498,3778394,4289229,383662,107263,60198,283161,0.54,0.956667,672
bimodal,rsbench-1.730_0,12020330,1878857,1592730,1888551,544999,118673,76754,439855,0.54,0.956667,612
bimodal,web_205,13999869,2910301,2430106,2041451,280033,65355,34035,220907,0.54,0.956667,574
bimodal,nodejs-octane_3483,21042413,4929440,3567904,3793805,260163,42431,23236,220605,0.54,0.956667,689
bimodal,infra_61,39000015,6854482,4917623,8409061,132681,23570,14660,109608,0.54,0.956667,796
bimodal,fp_49,39000015,4194594,3367366,4922810,221545,33619,17592,189419,0.54,0.956667,473
bimodal,zstd-1.19139_0,12020330,1401438,1318427,1212639,48565,6898,3550,41876,0.54,0.956667,392
bimodal,nodejs-misc-util_7039,21029396,7007229,7006091,4672288,251,215,215,36,0.54,0.956667,906
bimodal,web_94,38999983,8444681,6391384,6298081,376001,58645,33641,318739,0.54,0.956667,624
bimodal,infra_34,39000015,9011377,6886437,5536288,194186,37065,17125,157301,0.54,0.956667,555
bimodal,specjbb-48g-ir1000-msjdk11-64k.4880_0,24222715,4543668,3272306,3777732,384388,136888,74150,257846,0.54,0.956667,594
bimodal,gmsh-1.12469_0,12020330,1579397,1309223,1448548,132813,22467,11412,112686,0.54,0.956667,463
bimodal,java16-specjbb-64k-bigmem_1126,20103484,3571226,2765148,3205628,294309,76942,42940,222716,0.54,0.956667,607
bimodal,int_37,39000043,5914900,5744845,5036349,361453,60258,36972,303830,0.54,0.956667,509
bimodal,ren-db-shootout-jdk11.3274_0,24184529,4815125,3460861,4251174,493011,154889,84986,351766,0.54,0.956667,667
bimodal,flightdm-5.7254_0,12020330,2450557,1527620,2162652,123734,14690,7523,109872,0.54,0.956667,673
bimodal,554-roms-1_62613,21032545,416102,358498,1677068,15091,296,294,14797,0.54,0.956667,282
bimodal,brotli-1.6219_0,12023437,1763581,1526696,1469741,124470,18828,9567,106307,0.54,0.956667,474
bimodal,web_97,38999747,7491997,5612003,6195874,466539,61089,32131,407092,0.54,0.956667,608
bimodal,nodejs-cluster_6968,25060615,5150499,3536173,4214672,270711,175610,91665,103299,0.54,0.956667,634
