# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,19.6,21.292,35.8,16.8,1.8,81.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,974.1,974.2,103,100.0,0.0,2.1,100,0,2,48.4,51.6,52.5,52.5,3.29,19.53,-1.000,2690,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,18.4,19.964,32.6,16.4,1.8,83.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,1021.9,1021.9,4,100.0,0.0,3.7,97,1,1,48.2,51.8,52.5,52.5,3.10,22.66,1.000,4506,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,19.2,19.537,33.4,17.1,1.7,82.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,1021.7,1021.7,3,100.0,0.0,4.2,148,2,1,46.9,53.1,52.5,52.5,2.85,11.33,0.037,5910,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,15.4,16.724,28.9,17.3,1.9,83.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,1022.2,1022.3,3,100.0,0.0,4.3,99,1,1,44.3,55.7,52.5,52.5,2.96,15.62,0.037,4034,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,18.0,18.249,32.0,17.5,1.8,82.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,1021.9,1022.1,4,100.0,0.0,4.4,79,1,1,45.5,54.5,52.5,52.5,2.91,10.94,0.393,5646,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,17.5,17.869,31.8,17.8,1.8,81.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,1022.0,1022.3,2,100.0,0.0,4.7,95,1,1,42.9,57.1,52.5,52.5,2.79,12.11,1.000,5396,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,18.6,20.111,33.7,16.7,1.8,80.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,1022.1,1022.4,2,100.0,0.0,4.9,163,2,1,40.9,59.1,52.5,52.5,2.94,23.44,0.037,4875,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,17.9,23.175,33.0,14.2,1.8,78.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,1022.2,1022.4,6,100.0,0.0,4.4,113,1,1,35.9,64.1,52.5,52.5,3.06,32.03,0.093,3317,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,16.5,18.128,31.0,17.1,1.9,82.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,1022.1,1022.4,3,100.0,0.0,4.3,108,1,1,44.3,55.7,52.5,52.5,2.67,13.28,1.000,4173,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,18.9,19.605,32.2,16.4,1.7,81.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,1022.0,1022.4,0,0.0,0.0,4.9,105,1,2,42.7,57.3,52.5,52.5,2.88,9.77,0.393,4677,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,100000,16.4,17.451,29.6,16.9,1.8,82.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,1022.2,1022.5,2,100.0,0.0,4.6,166,2,1,41.6,58.4,52.5,52.5,2.70,12.50,0.037,3789,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,100000,17.3,18.797,30.8,16.4,1.8,82.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,1022.2,1022.5,2,100.0,0.0,4.5,114,1,1,43.0,57.0,52.5,52.5,2.90,32.81,0.093,4021,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,100000,18.4,19.999,32.5,16.2,1.8,80.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,1022.1,1022.5,2,100.0,0.0,6.4,115,1,1,39.4,60.6,52.5,52.5,2.71,14.06,1.000,4194,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
