# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,17.2,19.096,30.1,15.8,1.8,86.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,962.6,962.7,319,100.0,0.0,7.9,796,50,47,55.2,44.8,52.5,52.5,5.76,25.00,-1.000,1616,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,17.3,19.711,29.9,15.2,1.7,85.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,1020.4,1020.4,107,100.0,0.0,12.3,852,79,74,51.8,48.2,52.5,52.5,6.27,23.05,0.678,2201,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,15.9,18.034,27.5,15.3,1.7,86.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,1020.9,1020.9,77,100.0,0.0,12.0,880,87,70,50.3,49.7,52.5,52.5,5.56,23.83,0.883,2114,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,14.6,17.067,25.4,14.9,1.7,87.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,1021.5,1021.5,66,100.0,0.0,11.8,839,81,64,49.5,50.5,52.5,52.5,5.38,28.52,0.828,1990,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,16.1,18.312,27.8,15.2,1.7,86.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,1021.3,1021.3,62,100.0,0.0,13.0,904,81,74,49.6,50.4,52.5,52.5,5.30,21.09,0.665,2023,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,14.2,16.397,25.1,15.3,1.8,87.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,1021.4,1021.4,54,100.0,0.0,11.9,878,91,71,48.1,51.9,52.5,52.5,5.19,23.05,0.697,2069,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,15.0,16.859,26.1,15.5,1.7,86.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,1021.2,1021.2,56,100.0,0.0,12.7,891,76,64,49.5,50.5,52.5,52.5,5.78,28.52,0.778,1935,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,14.7,16.464,25.5,15.5,1.7,87.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,1021.7,1021.7,55,100.0,0.0,11.6,884,72,70,48.9,51.1,52.5,52.5,5.73,22.66,0.923,1935,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,14.6,16.317,25.6,15.7,1.8,86.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,1021.4,1021.4,68,100.0,0.0,12.4,902,81,53,48.2,51.8,52.5,52.5,5.70,25.00,0.618,1977,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,14.7,16.127,25.7,15.9,1.7,87.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,1021.6,1021.6,56,100.0,0.0,13.8,936,84,52,50.1,49.9,52.5,52.5,5.19,19.92,0.601,1941,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
