# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg,trace_count
0,100000,10.8625,15.0853,17.7000,17.7250,1.6250,92.3125,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.5875,990.5750,990.5875,102.1250,87.5000,0.0000,3.0625,370.7500,66.5000,31.6250,61.4625,38.5375,46.2500,52.5000,4.0187,29.1013,-1.0000,962.3750,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
1,100000,9.7375,12.5440,15.6375,21.2625,1.5250,92.5500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.3750,1022.1625,1022.1625,20.3750,75.0000,0.0000,4.5750,370.3750,101.0000,37.2500,57.2750,42.7250,43.7500,51.2500,3.8325,22.5100,0.6291,1365.3750,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
2,100000,9.5000,11.9471,15.4250,21.3250,1.5500,92.1125,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.1375,1022.2500,1022.2875,15.1250,87.5000,0.0000,5.4625,363.8750,73.5000,29.8750,50.2750,49.7250,41.2500,51.2500,3.6325,21.3400,0.6190,1651.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
3,100000,10.7286,14.4749,17.7857,14.0286,1.6286,90.9429,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4571,1022.1429,1022.2714,18.5714,100.0000,0.0000,6.8857,443.4286,128.4286,45.5714,50.4714,49.5286,50.3571,52.5000,4.1871,29.0186,0.6230,1970.1429,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
4,100000,10.0286,12.5216,16.5143,14.0571,1.6143,91.5143,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.2857,1022.3143,1022.3571,14.7143,71.4286,0.0000,8.2429,445.7143,135.2857,48.1429,49.8571,50.1429,46.7857,52.5000,3.8986,20.8714,0.5864,2141.2857,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
5,100000,9.3286,11.5964,15.3429,14.1000,1.6286,92.1000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0571,1022.3857,1022.4000,14.7143,100.0000,0.0000,7.9143,441.4286,122.8571,44.4286,50.4714,49.5286,50.3571,52.5000,3.9514,23.1600,0.6713,2174.7143,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
6,100000,9.5429,11.9336,15.8714,13.8571,1.6143,91.4429,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.6429,1022.3571,1022.3571,15.0000,100.0000,0.0000,8.2857,460.0000,145.5714,47.7143,47.6286,52.3714,47.5000,52.5000,3.9057,23.3286,0.5720,2042.8571,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
7,100000,9.1143,11.6661,15.3143,13.7714,1.6286,91.7429,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.9429,1022.3143,1022.4714,13.4286,100.0000,0.0000,7.6000,437.5714,115.1429,44.8571,47.7571,52.2429,48.2143,52.5000,3.8686,26.8971,0.6073,1821.7143,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
8,100000,9.9429,12.8056,16.6143,14.3000,1.6286,91.1429,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.2429,1021.9143,1022.0571,29.5714,85.7143,0.0000,8.9571,433.4286,102.5714,40.2857,48.3429,51.6571,48.9286,52.5000,4.0600,28.1800,0.5907,1904.2857,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
9,100000,9.7500,13.9273,16.2167,11.4667,1.6333,91.3500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,1022.3833,1022.3833,18.0000,100.0000,0.0000,9.8500,474.8333,132.0000,45.5000,48.2500,51.7500,50.0000,52.5000,3.4867,16.7967,0.5003,1896.5000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
10,100000,9.6667,14.1465,16.7333,11.7500,1.6833,91.2333,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.5333,1022.4167,1022.4167,18.8333,100.0000,0.0000,9.8333,475.1667,99.0000,38.8333,48.7333,51.2667,51.6667,52.5000,3.4950,21.4183,0.4715,1915.8333,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
