# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,11.1,23.077,18.3,7.9,1.6,92.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,1006.7,1006.7,23,100.0,0.0,4.9,425,85,64,56.5,43.5,52.5,52.5,4.95,33.20,-1.000,424,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,7.6,15.765,12.2,7.7,1.6,94.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,1022.6,1022.6,9,100.0,0.0,6.5,300,86,39,52.8,47.2,52.5,52.5,3.97,27.34,0.266,457,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,9.2,19.459,14.1,7.2,1.5,93.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,1022.4,1022.4,7,100.0,0.0,9.2,265,76,25,52.8,47.2,52.5,52.5,4.28,24.61,0.318,368,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,11.5,23.544,19.4,8.2,1.7,91.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,1021.7,1021.7,26,100.0,0.0,11.0,452,264,79,56.1,43.9,52.5,52.5,4.82,41.41,0.041,692,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,8.4,15.773,14.8,9.4,1.8,93.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,1022.4,1022.4,16,100.0,0.0,16.9,463,310,89,53.5,46.5,52.5,52.5,4.51,24.22,0.706,1150,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,6.8,12.783,12.2,9.5,1.8,94.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1022.4,1022.4,17,100.0,0.0,15.6,467,305,86,53.8,46.2,52.5,52.5,4.51,30.47,0.697,987,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,6.7,12.550,11.9,9.5,1.8,94.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,1022.5,1022.5,19,100.0,0.0,15.3,513,329,92,51.5,48.5,52.5,52.5,4.04,21.88,0.625,1135,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,5.5,10.840,9.6,8.8,1.7,95.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,1022.7,1022.7,14,100.0,0.0,13.5,434,249,85,50.7,49.3,47.5,52.5,3.56,27.34,0.626,721,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,9.5,19.283,15.4,8.0,1.6,92.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,1020.2,1020.2,103,100.0,0.0,16.6,498,118,61,51.4,48.6,52.5,52.5,4.48,46.88,0.070,346,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,6.9,14.236,10.9,7.6,1.6,94.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,1022.7,1022.7,17,100.0,0.0,13.9,247,84,28,47.8,52.2,52.5,52.5,3.43,21.48,0.154,562,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
