# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,9.6,16.665,14.2,8.6,1.5,94.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,999.1,999.1,80,100.0,0.0,6.0,531,284,60,59.3,40.7,52.5,52.5,4.04,29.69,-1.000,580,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,9.0,15.420,13.5,8.8,1.5,94.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,1021.8,1021.8,27,100.0,0.0,9.3,696,523,111,58.5,41.5,52.5,52.5,4.69,35.55,0.485,856,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,7.7,12.730,12.3,9.7,1.6,94.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,1022.6,1022.6,12,100.0,0.0,12.0,599,300,67,51.3,48.7,52.5,52.5,3.18,22.66,0.646,825,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,9.5,16.550,14.3,8.7,1.5,93.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,1022.4,1022.4,19,100.0,0.0,14.1,721,464,100,51.8,48.2,52.5,52.5,4.13,20.31,0.771,1253,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,9.4,16.305,14.2,8.7,1.5,93.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,1022.6,1022.6,15,100.0,0.0,15.8,720,457,98,51.3,48.7,52.5,52.5,3.71,23.83,0.724,1176,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,7.2,12.413,10.8,8.7,1.5,94.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,1022.7,1022.7,13,100.0,0.0,15.3,638,365,74,51.7,48.3,52.5,52.5,3.63,30.47,0.707,1157,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,8.1,14.193,12.4,8.7,1.5,94.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,1022.5,1022.5,20,100.0,0.0,17.1,735,515,107,51.5,48.5,52.5,52.5,3.76,22.66,0.672,1186,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,6.1,11.123,9.9,8.9,1.6,95.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,1022.7,1022.7,9,100.0,0.0,15.9,609,375,80,51.3,48.7,52.5,52.5,3.48,17.97,0.630,785,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,7.7,13.579,11.9,8.7,1.5,94.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,1022.4,1022.4,28,100.0,0.0,20.6,605,427,93,52.0,48.0,52.5,52.5,3.49,27.34,0.492,634,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,10.0,17.313,15.6,9.0,1.6,92.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,1022.4,1022.4,24,100.0,0.0,19.5,732,506,110,49.6,50.4,52.5,52.5,4.28,19.92,0.636,1136,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,100000,6.0,10.817,9.8,9.1,1.6,94.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,1022.8,1022.8,12,100.0,0.0,15.2,514,209,41,47.8,52.2,52.5,52.5,2.99,25.00,0.524,891,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,100000,9.7,16.694,14.7,8.8,1.5,92.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,1022.5,1022.5,13,100.0,0.0,19.8,727,522,110,50.1,49.9,52.5,52.5,3.98,26.17,0.576,1338,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,100000,6.2,10.869,10.0,9.2,1.6,94.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,1022.7,1022.7,11,100.0,0.0,18.0,695,459,106,47.9,52.1,52.5,52.5,3.29,16.80,0.789,1130,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,100000,7.9,13.741,12.5,9.1,1.6,93.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,1022.6,1022.6,21,100.0,0.0,17.7,720,394,79,47.5,52.5,52.5,52.5,3.32,36.72,0.695,1128,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,100000,6.3,11.212,10.3,9.1,1.6,94.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,1022.8,1022.8,8,100.0,0.0,17.0,578,457,83,48.4,51.6,52.5,52.5,3.02,24.61,0.633,877,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,100000,3.1,5.919,5.3,9.0,1.7,97.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,1022.9,1022.9,2,100.0,0.0,13.2,432,225,37,48.0,52.0,22.5,52.5,2.20,26.17,0.764,433,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,100000,3.2,6.208,5.5,8.8,1.7,97.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,1022.8,1022.8,12,100.0,0.0,12.8,578,254,47,46.7,53.3,12.5,52.5,2.11,23.44,0.708,453,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,100000,8.1,13.981,12.7,9.1,1.6,93.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,1022.6,1022.6,11,100.0,0.0,19.0,735,380,80,47.2,52.8,52.5,52.5,3.54,21.48,0.663,1222,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,100000,10.5,17.707,15.5,8.8,1.5,91.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,1022.6,1022.6,15,100.0,0.0,19.6,643,370,72,44.9,55.1,52.5,52.5,3.57,16.80,0.612,1677,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000

