# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,8.3,22.847,11.5,5.0,1.4,96.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,999.4,999.4,97,100.0,0.0,0.9,311,90,68,65.7,34.3,52.5,52.5,3.44,39.84,-1.000,515,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,4.7,12.546,6.6,5.3,1.4,97.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,1022.7,1022.8,3,100.0,0.0,1.1,248,83,57,58.5,41.5,27.5,52.5,2.28,18.75,0.695,607,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,3.5,9.264,4.8,5.2,1.4,98.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1022.8,1022.8,1,100.0,0.0,1.2,258,89,65,63.2,36.8,7.5,52.5,1.67,24.22,0.976,441,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,4.7,12.134,6.4,5.3,1.4,97.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,1022.8,1022.8,2,100.0,0.0,1.2,257,64,68,60.4,39.6,37.5,52.5,2.27,17.19,0.828,799,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,2.7,7.193,3.7,5.1,1.4,98.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1022.9,1022.9,0,0.0,0.0,1.3,247,75,63,59.7,40.3,12.5,52.5,1.39,12.89,0.946,551,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,3.5,8.651,4.8,5.5,1.4,97.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1022.9,1022.9,2,100.0,0.0,1.4,264,70,67,52.1,47.9,27.5,52.5,2.18,15.62,0.803,656,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,2.2,5.707,3.1,5.3,1.4,98.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1022.9,1022.9,1,100.0,0.0,1.5,245,63,59,53.3,46.7,12.5,52.5,1.46,9.38,0.868,421,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,3.3,8.535,4.5,5.3,1.4,97.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,1022.9,1022.9,4,100.0,0.0,1.5,265,74,62,52.9,47.1,17.5,52.5,2.17,18.75,0.814,569,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,3.0,7.550,4.2,5.5,1.4,98.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1022.9,1022.9,2,100.0,0.0,1.6,227,70,64,51.2,48.8,22.5,52.5,1.88,14.45,0.841,555,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,3.9,10.000,5.4,5.4,1.4,97.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1022.8,1022.8,1,100.0,0.0,1.7,276,100,73,50.5,49.5,27.5,52.5,2.43,16.02,0.628,736,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,100000,5.0,12.095,6.8,5.6,1.4,96.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,1022.8,1022.8,4,100.0,0.0,1.7,253,93,52,49.7,50.3,42.5,52.5,2.82,25.00,0.619,1009,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,100000,5.7,13.563,7.7,5.7,1.4,96.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,1022.8,1022.8,2,100.0,0.0,1.7,258,91,71,49.1,50.9,52.5,52.5,3.02,16.02,0.836,980,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,100000,5.8,13.903,8.0,5.7,1.4,95.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,1022.8,1022.8,3,100.0,0.0,1.6,283,95,67,48.5,51.5,52.5,52.5,3.04,16.41,0.865,1013,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,100000,5.5,13.617,7.5,5.5,1.4,96.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1022.7,1022.7,5,100.0,0.0,1.7,320,91,76,52.3,47.7,47.5,52.5,3.24,34.77,0.839,967,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,100000,3.6,9.215,4.9,5.3,1.3,97.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,1022.9,1022.9,1,100.0,0.0,1.6,284,67,72,49.8,50.2,32.5,52.5,2.43,13.67,0.882,740,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,100000,7.5,18.121,10.5,5.8,1.4,95.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1022.3,1022.3,16,100.0,0.0,2.4,361,119,89,56.6,43.4,52.5,52.5,3.90,29.30,0.528,1024,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,100000,8.7,22.522,13.9,6.2,1.6,93.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,1022.4,1022.5,11,100.0,0.0,4.4,201,116,35,52.3,47.7,52.5,52.5,3.48,13.28,0.451,673,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,100000,9.0,22.613,15.2,6.7,1.7,91.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,1019.7,1020.0,24,100.0,0.0,3.9,245,162,66,45.4,54.6,52.5,52.5,3.77,23.05,0.565,828,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,100000,11.5,14.827,21.4,14.4,1.9,89.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,921.1,921.1,987,100.0,0.0,7.8,320,36,22,49.8,50.2,52.5,52.5,4.55,23.83,0.098,716,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,100000,9.1,10.132,16.4,16.2,1.8,91.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,1022.6,1022.6,8,100.0,0.0,3.4,69,14,13,48.7,51.3,52.5,52.5,6.21,23.05,0.168,837,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,100000,11.9,23.259,23.6,10.1,2.0,88.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,1014.0,1021.8,34,100.0,0.0,12.2,166,37,31,51.7,48.3,52.5,52.5,4.70,78.12,0.117,857,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
