# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,11.9,5.129,14.2,27.8,1.2,94.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1005.0,1005.0,15,100.0,0.0,1.0,245,9,4,58.1,41.9,52.5,52.5,5.46,30.08,-1.000,492,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,11.2,5.174,13.9,26.9,1.2,92.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,1022.6,1022.6,2,100.0,0.0,2.0,228,12,6,47.5,52.5,52.5,52.5,4.85,26.17,0.218,1073,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,12.4,6.083,16.8,27.5,1.3,90.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,1022.4,1022.7,3,100.0,0.0,2.1,272,17,7,40.4,59.6,52.5,52.5,6.44,26.56,0.242,1560,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,13.0,6.093,18.1,29.6,1.4,89.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,1021.8,1022.8,1,100.0,0.0,2.2,215,9,0,40.5,59.5,52.5,52.5,6.47,46.88,0.872,1877,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,11.7,5.355,15.1,28.1,1.3,91.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1022.5,1022.8,3,100.0,0.0,2.5,197,10,5,44.9,55.1,52.5,52.5,5.93,22.66,0.136,1696,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,11.1,4.837,13.2,27.3,1.2,93.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,1022.5,1022.8,1,100.0,0.0,2.4,261,8,7,50.5,49.5,52.5,52.5,5.44,21.88,0.229,2519,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,10.5,4.755,12.9,27.0,1.2,91.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,1022.7,1022.8,2,100.0,0.0,3.0,197,9,6,37.0,63.0,52.5,52.5,5.51,21.09,0.204,1713,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,12.2,5.532,15.9,28.8,1.3,90.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,1021.9,1022.6,1,100.0,0.0,2.5,286,12,11,40.1,59.9,52.5,52.5,6.21,61.33,0.192,1878,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,12.6,5.757,17.7,30.7,1.4,89.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,1021.7,1022.8,2,100.0,0.0,2.3,169,8,2,39.0,61.0,52.5,52.5,5.90,29.69,0.128,1966,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000

