# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,12.4,16.050,21.9,13.6,1.8,90.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,972.4,972.4,158,100.0,0.0,0.7,484,12,8,58.3,41.7,52.5,52.5,4.55,25.78,-1.000,1080,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,9.6,12.546,17.1,13.7,1.8,92.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,1022.4,1022.4,9,100.0,0.0,1.3,458,13,5,53.5,46.5,52.5,52.5,4.41,19.53,0.864,991,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,9.5,12.157,16.8,13.8,1.8,91.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,1022.5,1022.5,14,100.0,0.0,1.7,473,12,4,51.2,48.8,52.5,52.5,3.93,20.31,0.850,1367,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,8.5,10.941,15.2,13.8,1.8,92.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,1022.6,1022.6,6,100.0,0.0,1.8,485,12,7,48.9,51.1,52.5,52.5,4.13,26.17,0.984,1338,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,6.1,7.830,11.0,14.1,1.8,94.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,1022.6,1022.6,5,100.0,0.0,1.7,447,15,7,50.4,49.6,52.5,52.5,3.25,23.83,0.535,977,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,6.5,8.253,11.7,14.2,1.8,94.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,1022.7,1022.7,9,100.0,0.0,1.4,458,12,5,50.5,49.5,52.5,52.5,3.50,16.80,0.566,1210,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,7.9,10.397,14.2,13.7,1.8,92.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,1022.7,1022.7,7,100.0,0.0,1.7,451,16,5,45.6,54.4,52.5,52.5,3.36,17.19,0.820,1286,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,6.7,8.586,12.0,14.0,1.8,93.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1022.7,1022.7,6,100.0,0.0,1.8,453,14,5,43.4,56.6,52.5,52.5,3.32,18.36,0.973,1120,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,6.4,8.274,11.6,14.0,1.8,93.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,1022.7,1022.7,3,100.0,0.0,2.0,461,13,8,45.5,54.5,52.5,52.5,3.23,17.97,0.986,1134,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,4.9,6.225,8.9,14.3,1.8,94.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,1022.8,1022.8,5,100.0,0.0,1.7,468,18,8,42.5,57.5,47.5,52.5,2.64,11.33,0.590,950,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
