# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg,trace_count
0,100000,10.9875,15.2904,17.9125,17.6625,1.6250,92.1500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.6500,991.1625,991.1875,110.0000,100.0000,0.0000,0.8750,255.8750,66.3750,31.6250,60.9000,39.1000,46.2500,52.5000,4.1600,30.0275,-1.0000,913.7500,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
1,100000,10.0375,12.7674,16.0375,21.2000,1.5250,92.3250,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.3125,1022.2250,1022.2375,18.5000,75.0000,0.0000,1.7625,247.6250,100.1250,37.2500,55.5000,44.5000,44.3750,52.5000,3.7900,22.9988,0.6291,1340.8750,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
2,100000,9.9750,12.2546,16.0375,21.2625,1.5250,91.8125,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0500,1022.2750,1022.3375,17.0000,75.0000,0.0000,2.2000,253.6250,71.3750,29.8750,52.1375,47.8625,43.7500,51.8750,3.6513,22.0213,0.6190,1631.8750,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
3,100000,11.2286,14.9296,18.5429,13.9857,1.6286,90.7143,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.2143,1022.0429,1022.2714,17.8571,71.4286,0.0000,3.2857,298.5714,124.0000,45.5714,51.0429,48.9571,51.0714,52.5000,4.2143,30.2471,0.6230,1902.4286,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
4,100000,10.2571,12.6703,16.7857,14.0286,1.6143,91.2857,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.7286,1022.3571,1022.3857,13.8571,85.7143,0.0000,3.8857,305.0000,136.8571,48.1429,49.2571,50.7429,47.5000,52.5000,3.8329,17.6314,0.5864,2051.2857,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
5,100000,9.4857,11.7293,15.5857,14.0429,1.6143,91.7714,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.4714,1022.4143,1022.4571,13.8571,100.0000,0.0000,3.8429,304.1429,121.7143,44.4286,49.0714,50.9286,49.6429,52.5000,3.7986,20.0886,0.6713,2006.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
6,100000,10.2000,12.4744,16.7429,13.7286,1.6000,90.8286,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4286,1022.3000,1022.3857,16.5714,85.7143,0.0000,4.1714,315.2857,143.0000,47.7143,46.5143,53.4857,47.5000,52.5000,3.9871,22.3743,0.5720,2031.8571,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
7,100000,9.7000,12.3309,16.1429,13.6286,1.6286,90.9429,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.3143,1022.3857,1022.4714,13.0000,85.7143,0.0000,3.9143,310.0000,115.4286,44.8571,45.2429,54.7571,48.2143,52.5000,3.8700,23.7714,0.6073,1711.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
8,100000,10.6714,13.3557,17.6286,14.1286,1.6000,90.3571,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4143,1021.8429,1022.1143,31.1429,100.0000,0.0000,4.6286,304.7143,104.5714,40.2857,46.3429,53.6571,48.2143,52.5000,3.9614,22.6000,0.5907,1796.4286,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
9,100000,10.1000,14.2635,16.7833,11.4333,1.6333,91.1167,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.5000,1022.3667,1022.4167,19.6667,100.0000,0.0000,5.3500,334.6667,134.1667,45.5000,47.3000,52.7000,48.3333,52.5000,3.3300,15.3650,0.5003,1906.8333,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
