# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,10.9,22.593,17.9,7.9,1.6,92.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,1006.6,1006.6,28,100.0,0.0,1.5,178,85,64,56.3,43.7,52.5,52.5,4.96,33.20,-1.000,423,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,7.8,16.101,12.4,7.7,1.6,94.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,1022.4,1022.4,11,100.0,0.0,3.3,85,88,39,53.4,46.6,52.5,52.5,3.84,23.83,0.266,435,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,9.2,19.554,14.1,7.2,1.5,93.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,1022.4,1022.4,14,100.0,0.0,3.5,93,73,25,53.2,46.8,52.5,52.5,4.24,25.39,0.318,334,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,11.5,23.484,19.4,8.3,1.7,91.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,1021.7,1021.7,28,100.0,0.0,5.7,158,256,79,58.0,42.0,52.5,52.5,4.53,34.77,0.041,678,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,8.1,15.201,14.3,9.4,1.8,93.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,1022.5,1022.5,12,100.0,0.0,8.6,146,306,89,53.4,46.6,52.5,52.5,4.47,21.48,0.706,1059,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,6.4,12.019,11.5,9.5,1.8,94.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,1022.5,1022.5,20,100.0,0.0,8.1,187,302,86,52.4,47.6,52.5,52.5,4.35,32.03,0.697,901,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,6.7,12.575,12.0,9.5,1.8,94.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,1022.5,1022.5,12,100.0,0.0,8.5,214,320,92,51.4,48.6,52.5,52.5,4.21,21.09,0.625,1052,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,5.5,10.865,9.6,8.8,1.7,95.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,1022.7,1022.7,9,100.0,0.0,7.8,186,251,85,50.9,49.1,52.5,52.5,3.92,24.61,0.626,743,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,9.1,18.442,14.7,8.0,1.6,92.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,1020.8,1020.8,109,100.0,0.0,8.6,255,124,61,49.4,50.6,52.5,52.5,4.12,34.77,0.070,391,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,7.3,14.996,11.4,7.6,1.6,94.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,1022.7,1022.7,14,100.0,0.0,8.9,103,83,28,50.1,49.9,52.5,52.5,3.25,22.66,0.154,649,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
