# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,9.6,16.767,14.3,8.5,1.5,94.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,999.3,999.3,77,100.0,0.0,1.0,318,277,60,58.3,41.7,52.5,52.5,3.99,27.73,-1.000,580,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,9.0,15.435,13.5,8.7,1.5,94.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,1022.1,1022.1,22,100.0,0.0,2.0,387,512,111,56.9,43.1,52.5,52.5,4.59,35.55,0.485,858,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,8.1,13.345,12.9,9.6,1.6,93.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,1022.6,1022.6,6,100.0,0.0,3.1,341,307,67,52.5,47.5,52.5,52.5,3.54,25.00,0.646,881,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,9.6,16.655,14.4,8.7,1.5,93.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,1022.4,1022.4,18,100.0,0.0,3.7,378,429,100,51.9,48.1,52.5,52.5,4.13,21.88,0.771,1256,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,9.5,16.513,14.4,8.7,1.5,92.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,1022.6,1022.6,13,100.0,0.0,4.2,399,489,98,50.0,50.0,52.5,52.5,4.00,23.05,0.724,1169,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,7.1,12.251,10.7,8.7,1.5,94.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,1022.7,1022.7,16,100.0,0.0,3.7,376,365,74,52.0,48.0,52.5,52.5,3.62,22.66,0.707,1099,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,8.1,14.169,12.3,8.7,1.5,93.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,1022.6,1022.6,8,100.0,0.0,4.8,420,515,107,50.1,49.9,52.5,52.5,3.89,24.22,0.672,1181,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,6.2,11.343,10.1,8.9,1.6,95.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,1022.7,1022.7,10,100.0,0.0,4.3,355,362,80,50.1,49.9,52.5,52.5,3.61,18.75,0.630,869,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,8.0,14.108,12.3,8.7,1.5,93.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,1022.2,1022.2,36,100.0,0.0,4.8,282,426,93,50.5,49.5,52.5,52.5,3.79,30.47,0.492,705,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,10.2,17.627,15.8,9.0,1.6,92.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,1022.4,1022.4,24,100.0,0.0,5.5,359,498,110,49.7,50.3,52.5,52.5,4.33,18.75,0.636,1160,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,100000,6.0,10.822,9.8,9.1,1.6,94.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,1022.6,1022.7,9,100.0,0.0,3.9,268,208,41,48.1,51.9,52.5,52.5,3.37,30.47,0.524,891,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,100000,9.6,16.622,14.6,8.8,1.5,92.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,1022.5,1022.5,20,100.0,0.0,5.7,380,518,110,49.1,50.9,52.5,52.5,3.91,32.81,0.576,1429,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,100000,6.2,10.814,10.0,9.2,1.6,94.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,1022.7,1022.7,10,100.0,0.0,4.8,376,454,106,47.8,52.2,52.5,52.5,3.42,19.92,0.789,1074,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,100000,7.9,13.781,12.5,9.1,1.6,93.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,1022.6,1022.6,17,100.0,0.0,4.8,381,380,79,46.8,53.2,52.5,52.5,3.47,33.98,0.695,1229,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,100000,6.4,11.423,10.4,9.1,1.6,94.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,1022.8,1022.8,11,100.0,0.0,4.6,261,461,83,48.1,51.9,52.5,52.5,3.38,21.09,0.633,819,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,100000,3.2,6.057,5.5,9.0,1.7,97.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,1022.9,1022.9,5,100.0,0.0,3.6,208,244,37,47.7,52.3,27.5,52.5,2.27,20.70,0.764,487,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,100000,3.3,6.285,5.6,8.8,1.7,97.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,1022.8,1022.8,7,100.0,0.0,3.2,308,267,47,48.9,51.1,12.5,52.5,2.19,28.52,0.708,484,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,100000,8.2,14.075,12.8,9.1,1.6,93.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,1022.6,1022.6,11,100.0,0.0,5.2,449,366,80,47.7,52.3,52.5,52.5,3.52,25.78,0.663,1254,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,100000,10.5,17.662,15.6,8.8,1.5,91.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,1022.6,1022.6,20,100.0,0.0,5.3,313,354,72,46.6,53.4,52.5,52.5,3.49,18.75,0.612,1692,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000

