# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,11.9,15.407,21.1,13.7,1.8,91.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,972.2,972.2,143,100.0,0.0,0.9,478,13,8,58.2,41.8,52.5,52.5,4.56,26.95,-1.000,989,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,9.6,12.466,17.1,13.7,1.8,92.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,1022.3,1022.3,7,100.0,0.0,1.6,459,13,5,53.9,46.1,52.5,52.5,4.29,26.56,0.864,1015,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,9.7,12.404,17.0,13.7,1.8,91.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1022.5,1022.5,16,100.0,0.0,1.9,496,14,4,50.1,49.9,52.5,52.5,4.10,21.48,0.850,1302,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,8.5,10.901,15.1,13.9,1.8,92.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,1022.6,1022.6,10,100.0,0.0,2.5,503,12,7,49.7,50.3,52.5,52.5,4.02,17.58,0.984,1313,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,6.1,7.896,11.1,14.0,1.8,94.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1022.6,1022.6,8,100.0,0.0,2.4,480,17,7,48.1,51.9,52.5,52.5,3.29,22.27,0.535,1019,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,6.9,8.866,12.5,14.1,1.8,93.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,1022.7,1022.7,4,100.0,0.0,2.4,470,10,5,48.5,51.5,52.5,52.5,3.56,14.45,0.566,1261,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,7.9,10.296,14.1,13.7,1.8,92.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,1022.7,1022.7,3,100.0,0.0,2.5,460,15,5,47.0,53.0,52.5,52.5,3.39,18.75,0.820,1224,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,6.9,8.804,12.3,14.0,1.8,93.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,1022.7,1022.7,4,100.0,0.0,2.4,458,21,5,43.4,56.6,52.5,52.5,3.23,13.28,0.973,1294,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,6.6,8.506,11.9,14.0,1.8,93.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,1022.8,1022.8,5,100.0,0.0,2.5,450,21,8,44.2,55.8,52.5,52.5,3.11,14.45,0.986,1184,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,5.2,6.649,9.5,14.3,1.8,94.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,1022.8,1022.8,2,100.0,0.0,2.2,469,23,8,42.1,57.9,47.5,52.5,2.77,12.50,0.590,1062,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
