# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,8.6,23.688,12.0,5.1,1.4,96.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,992.3,992.3,125,100.0,0.0,0.2,225,90,68,68.7,31.3,52.5,52.5,3.60,40.23,-1.000,522,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,4.5,12.023,6.3,5.3,1.4,97.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,1022.8,1022.8,3,100.0,0.0,0.3,190,79,57,57.2,42.8,27.5,52.5,2.17,17.58,0.695,560,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,3.3,8.942,4.7,5.2,1.4,98.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1022.8,1022.8,2,100.0,0.0,0.4,200,75,65,58.9,41.1,12.5,52.5,1.73,16.80,0.976,419,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,4.4,11.515,6.1,5.3,1.4,97.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,1022.8,1022.8,2,100.0,0.0,0.6,187,65,68,56.8,43.2,32.5,52.5,2.51,15.23,0.828,805,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,2.5,6.772,3.4,5.1,1.4,98.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1022.9,1022.9,2,100.0,0.0,0.5,186,78,63,53.7,46.3,12.5,52.5,1.44,14.45,0.946,446,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,3.6,8.927,5.0,5.6,1.4,97.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1022.9,1022.9,3,100.0,0.0,0.6,196,70,67,54.9,45.1,22.5,52.5,2.28,21.88,0.803,619,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,2.2,5.680,3.0,5.3,1.4,98.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1022.9,1022.9,1,100.0,0.0,0.6,196,62,59,48.3,51.7,12.5,52.5,1.47,12.50,0.868,419,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,3.0,7.629,4.1,5.3,1.4,97.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1022.9,1022.9,1,100.0,0.0,0.8,197,77,62,48.7,51.3,17.5,52.5,2.15,21.88,0.814,520,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,2.7,6.743,3.7,5.5,1.4,98.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,1022.9,1022.9,1,100.0,0.0,0.7,169,79,64,51.1,48.9,17.5,52.5,1.89,14.45,0.841,476,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,3.6,9.102,4.9,5.4,1.4,97.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,1022.9,1022.9,3,100.0,0.0,0.8,207,101,73,49.2,50.8,22.5,52.5,2.36,17.19,0.628,589,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,100000,4.6,11.095,6.3,5.6,1.4,96.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,1022.8,1022.8,1,100.0,0.0,0.9,172,90,52,51.2,48.8,37.5,52.5,2.74,17.58,0.619,818,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,100000,5.5,12.993,7.4,5.7,1.4,96.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,1022.8,1022.8,5,100.0,0.0,1.0,174,103,71,49.7,50.3,47.5,52.5,3.08,17.19,0.836,874,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,100000,5.8,13.726,7.9,5.8,1.4,96.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,1022.8,1022.8,3,100.0,0.0,1.2,193,97,67,48.8,51.2,52.5,52.5,2.94,17.19,0.865,988,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,100000,5.2,12.892,7.1,5.5,1.4,96.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1022.8,1022.8,2,100.0,0.0,1.1,217,90,76,52.0,48.0,42.5,52.5,2.79,17.19,0.839,927,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,100000,3.5,8.901,4.7,5.3,1.4,97.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,1022.9,1022.9,2,100.0,0.0,1.1,196,60,72,50.3,49.7,27.5,52.5,2.36,12.50,0.882,708,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,100000,7.0,16.871,9.7,5.8,1.4,95.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,1022.4,1022.4,14,100.0,0.0,1.6,240,119,89,54.4,45.6,52.5,52.5,3.84,22.66,0.528,905,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,100000,8.6,22.049,13.6,6.2,1.6,93.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,1022.5,1022.5,10,100.0,0.0,2.6,86,122,35,53.0,47.0,52.5,52.5,3.71,16.41,0.451,741,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,100000,7.8,19.714,13.5,6.8,1.7,93.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,1022.4,1022.4,19,100.0,0.0,2.2,119,159,66,49.5,50.5,52.5,52.5,3.73,16.41,0.565,658,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,100000,11.2,14.478,20.9,14.4,1.9,89.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,927.2,927.2,1059,100.0,0.0,3.7,261,41,22,49.4,50.6,52.5,52.5,4.67,25.78,0.098,787,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,100000,8.7,9.639,15.6,16.2,1.8,91.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,1022.6,1022.6,4,100.0,0.0,0.8,41,16,13,46.7,53.3,52.5,52.5,6.23,22.27,0.168,664,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,100000,11.5,22.411,22.7,10.1,2.0,88.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,1021.8,1021.9,42,100.0,0.0,5.8,69,36,31,49.7,50.3,52.5,52.5,4.22,26.56,0.117,842,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
