# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,17.7,19.244,33.3,17.3,1.9,83.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,976.8,976.8,118,100.0,0.0,0.2,73,0,2,51.6,48.4,52.5,52.5,3.45,20.31,-1.000,1765,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,17.9,19.505,32.3,16.6,1.8,83.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2,1021.9,1021.9,7,100.0,0.0,0.6,79,1,1,49.7,50.3,52.5,52.5,3.01,23.05,1.000,4315,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,20.0,20.311,34.5,17.0,1.7,81.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,1021.7,1021.7,4,100.0,0.0,0.3,80,2,1,47.3,52.7,52.5,52.5,3.15,16.80,0.037,7836,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,16.0,17.381,29.8,17.1,1.9,83.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,1022.2,1022.2,1,100.0,0.0,0.4,80,1,1,44.3,55.7,52.5,52.5,2.75,14.84,0.037,6176,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,17.5,17.752,31.2,17.6,1.8,82.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2,1022.0,1022.0,0,0.0,0.0,0.2,68,2,1,44.9,55.1,52.5,52.5,3.21,13.28,0.393,7828,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,17.7,18.086,32.0,17.7,1.8,81.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1022.0,1022.0,0,0.0,0.0,0.2,79,1,1,42.4,57.6,52.5,52.5,2.99,12.50,1.000,7914,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,17.7,19.126,32.5,17.0,1.8,81.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,1022.0,1022.0,2,100.0,0.0,0.5,93,3,1,42.5,57.5,52.5,52.5,3.18,21.88,0.037,7092,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,17.5,22.610,32.4,14.3,1.8,79.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,1022.0,1022.0,1,100.0,0.0,1.0,90,1,1,36.7,63.3,52.5,52.5,2.91,16.41,0.093,4802,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,17.4,19.055,32.3,17.0,1.9,81.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2,1022.0,1022.0,2,100.0,0.0,0.6,87,1,1,44.1,55.9,52.5,52.5,2.85,15.23,1.000,6028,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,18.7,19.312,32.0,16.6,1.7,82.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,1022.0,1022.0,1,100.0,0.0,0.6,85,1,2,45.0,55.0,52.5,52.5,2.62,10.94,0.393,7393,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,100000,17.1,18.256,30.9,16.9,1.8,82.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7,1022.2,1022.2,0,0.0,0.0,0.5,104,2,1,43.2,56.8,52.5,52.5,2.81,16.02,0.037,6518,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,100000,17.0,18.470,30.4,16.5,1.8,83.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,1022.1,1022.1,0,0.0,0.0,0.5,93,1,1,44.6,55.4,52.5,52.5,3.05,44.53,0.093,6572,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,100000,18.0,19.565,32.2,16.5,1.8,81.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1022.1,1022.1,2,100.0,0.0,0.6,90,1,1,42.7,57.3,52.5,52.5,2.68,18.75,1.000,6974,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,100000,17.2,17.494,30.3,17.3,1.8,82.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,1022.2,1022.2,3,100.0,0.0,0.5,80,1,1,42.6,57.4,52.5,52.5,2.67,12.50,0.393,7330,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,100000,17.9,18.929,32.1,16.9,1.8,81.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1022.0,1022.0,0,0.0,0.0,0.5,96,2,3,40.9,59.1,52.5,52.5,2.96,16.41,0.039,7471,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,100000,16.5,19.359,30.9,15.9,1.9,82.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,1022.1,1022.1,0,0.0,0.0,0.8,95,1,1,42.1,57.9,52.5,52.5,3.09,39.06,0.037,5280,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,100000,17.9,18.211,31.2,17.1,1.7,82.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1,1022.1,1022.2,0,0.0,0.0,0.5,78,1,1,43.7,56.3,52.5,52.5,2.54,12.11,0.393,7428,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,100000,16.5,19.901,30.5,15.3,1.8,80.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,1022.3,1022.3,0,0.0,0.0,1.1,97,1,1,36.2,63.8,52.5,52.5,2.72,22.27,0.393,5032,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,100000,20.1,20.751,35.2,17.0,1.8,79.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.2,1021.9,1021.9,1,100.0,0.0,0.6,92,1,1,42.1,57.9,52.5,52.5,2.82,12.11,0.393,7471,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,100000,17.5,20.689,32.0,15.5,1.8,80.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,1021.9,1022.0,1,100.0,0.0,0.7,111,2,2,38.3,61.7,52.5,52.5,2.83,14.06,0.037,5762,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
