# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,10.7,4.577,12.7,27.8,1.2,94.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,1005.7,1005.8,8,100.0,0.0,0.1,103,9,4,55.7,44.3,52.5,52.5,5.68,28.52,-1.000,607,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,13.0,5.987,16.1,26.8,1.2,92.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,1022.3,1022.4,2,100.0,0.0,0.3,109,11,6,52.8,47.2,52.5,52.5,5.05,26.95,0.218,1831,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,13.6,6.630,18.3,27.6,1.3,90.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,1021.7,1022.2,3,100.0,0.0,0.3,134,14,7,46.3,53.7,52.5,52.5,6.93,36.72,0.242,2457,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,12.4,5.815,17.4,29.9,1.4,90.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,1021.6,1022.4,1,100.0,0.0,0.3,119,13,0,42.5,57.5,52.5,52.5,6.86,43.75,0.872,3339,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,12.7,5.813,16.4,28.2,1.3,92.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,1021.9,1022.3,2,100.0,0.0,0.3,124,9,5,51.0,49.0,52.5,52.5,6.30,39.84,0.136,3698,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,11.4,4.948,13.6,27.4,1.2,93.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,1022.5,1022.6,1,100.0,0.0,0.4,144,10,7,54.8,45.2,52.5,52.5,5.83,23.05,0.229,3505,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,10.5,4.749,12.9,27.2,1.2,92.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,1022.7,1022.7,0,0.0,0.0,0.3,127,9,6,42.3,57.7,52.5,52.5,5.89,26.95,0.204,3079,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,11.6,5.260,15.2,29.0,1.3,91.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,1022.1,1022.2,0,0.0,0.0,0.3,154,11,11,41.6,58.4,52.5,52.5,5.93,31.64,0.192,3083,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,11.8,5.416,16.8,31.0,1.4,90.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,1022.2,1022.5,1,100.0,0.0,0.3,117,7,2,40.8,59.2,52.5,52.5,6.54,28.91,0.128,3461,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000

