# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,17.1,19.067,30.1,15.8,1.8,86.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,963.4,963.4,343,100.0,0.0,0.7,605,50,47,55.4,44.6,52.5,52.5,5.73,28.12,-1.000,1667,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,17.4,19.807,30.1,15.2,1.7,85.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,1020.5,1020.5,90,100.0,0.0,1.5,625,80,74,52.2,47.8,52.5,52.5,6.60,30.08,0.678,2216,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,15.8,17.955,27.4,15.3,1.7,86.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,1021.0,1021.0,81,100.0,0.0,1.8,683,81,70,50.6,49.4,52.5,52.5,5.30,22.66,0.883,2193,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,14.6,17.071,25.4,14.9,1.7,87.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,1021.7,1021.7,59,100.0,0.0,2.0,624,70,64,48.8,51.2,52.5,52.5,5.10,25.00,0.828,1957,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,15.7,17.868,27.3,15.3,1.7,86.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,1021.3,1021.3,66,100.0,0.0,2.5,698,82,74,50.3,49.7,52.5,52.5,5.47,25.00,0.665,2101,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,13.9,16.029,24.7,15.4,1.8,87.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,1021.5,1021.5,69,100.0,0.0,2.6,688,91,71,48.9,51.1,52.5,52.5,5.21,22.27,0.697,1997,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,14.7,16.467,25.6,15.5,1.7,87.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,1021.3,1021.3,69,100.0,0.0,2.4,702,83,64,49.2,50.8,52.5,52.5,5.77,26.56,0.778,2011,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,14.6,16.330,25.3,15.5,1.7,87.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,1021.6,1021.6,55,100.0,0.0,2.6,715,76,70,48.5,51.5,52.5,52.5,5.59,25.00,0.923,1937,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,14.6,16.322,25.7,15.7,1.8,86.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,1021.3,1021.3,60,100.0,0.0,2.6,738,80,53,48.8,51.2,52.5,52.5,5.99,32.42,0.618,2045,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,14.7,16.138,25.7,15.9,1.7,87.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,1021.5,1021.5,55,100.0,0.0,2.7,754,97,52,49.3,50.7,52.5,52.5,5.12,19.53,0.601,1990,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
